Join kim
Failed
Testing TinyGPS library v. 13
by Mikal Hart

Sats HDOP Latitude  Longitude  Fix  Date       Time     Date Alt    Course Speed Card  Distance Course Card  Chars Sentences Checksum
5    286  45.760135 4.851164   112  05/26/2015 19:44:12 81   285.00 267.46 0.41  W     736      332.06 NNW   95679 218       1        
5    286  45.760135 4.851164   239  05/26/2015 19:44:13 301  285.10 267.46 0.48  W     736      332.06 NNW   96235 220       1        
5    286  45.760135 4.851164   329  05/26/2015 19:44:14 346  285.10 267.46 0.65  W     736      332.06 NNW   96686 222       1        
5    286  45.760135 4.851165   398  05/26/2015 19:44:15 417  285.30 267.46 0.41  W     736      332.06 NNW   97137 224       1        
5    286  45.760135 4.851166   480  05/26/2015 19:44:16 498  285.40 267.46 0.04  W     736      332.06 NNW   97588 226       1        
5    286  45.760135 4.851164   552  05/26/2015 19:44:17 569  285.40 267.46 0.06  W     736      332.06 NNW   98039 228       1        
5    286  45.760135 4.851162   624  05/26/2015 19:44:18 641  285.40 267.46 0.28  W     736      332.06 NNW   98490 230       1        
5    286  45.760139 4.851160   697  05/26/2015 19:44:19 715  285.20 267.46 0.13  W     736      332.06 NNW   98941 232       1        
5    286  45.760139 4.851160   770  05/26/2015 19:44:20 789  285.20 267.46 0.07  W     736      332.06 NNW   99392 234       1        
5    286  45.760143 4.851162   842  05/26/2015 19:44:21 860  285.00 267.46 0.19  W     736      332.06 NNW   99962 237       1        
5    286  45.760143 4.851164   124  05/26/2015 19:44:23 84   285.10 267.46 0.54  W     736      332.06 NNW   10064 240       1        
5    286  45.760143 4.851166   243  05/26/2015 19:44:24 306  285.30 267.46 0.22  W     736      332.06 NNW   10119 242       1        
5    286  45.760143 4.851165   340  05/26/2015 19:44:25 358  285.50 267.46 0.35  W     736      332.06 NNW   10164 244       1        
5    286  45.760143 4.851166   412  05/26/2015 19:44:26 430  285.70 267.46 0.09  W     736      332.06 NNW   10209 246       1        
5    286  45.760143 4.851167   482  05/26/2015 19:44:27 499  286.10 267.46 0.20  W     736      332.06 NNW   10254 248       1        
5    286  45.760143 4.851167   555  05/26/2015 19:44:28 574  286.60 267.46 0.28  W     736      332.06 NNW   10300 250       1        
5    286  45.760143 4.851170   627  05/26/2015 19:44:29 644  287.10 267.46 0.15  W     736      332.06 NNW   10345 252       1        
5    286  45.760143 4.851171   702  05/26/2015 19:44:30 720  287.50 267.46 0.37  W     736      332.06 NNW   10390 254       1        
5    286  45.760147 4.851172   776  05/26/2015 19:44:31 794  287.70 267.46 0.07  W     736      332.06 NNW   10435 256       1        
5    286  45.760147 4.851173   850  05/26/2015 19:44:32 868  288.00 267.46 0.20  W     736      332.06 NNW   10492 259       1        
5    286  45.760150 4.851175   132  05/26/2015 19:44:34 91   288.60 267.46 0.52  W     736      332.06 NNW   10561 262       1        
5    286  45.760150 4.851175   252  05/26/2015 19:44:35 314  288.90 267.46 0.15  W     736      332.06 NNW   10615 264       1        
5    286  45.760150 4.851172   342  05/26/2015 19:44:36 360  289.10 267.46 0.06  W     736      332.06 NNW   10660 266       1        
5    286  45.760150 4.851172   414  05/26/2015 19:44:37 432  289.30 267.46 0.15  W     736      332.06 NNW   10705 268       1        
5    286  45.760150 4.851171   491  05/26/2015 19:44:38 510  289.60 267.46 0.41  W     736      332.06 NNW   10751 270       1        
5    286  45.760150 4.851169   553  05/26/2015 19:44:39 571  290.10 267.46 0.52  W     736      332.06 NNW   10796 272       1        
5    286  45.760150 4.851168   633  05/26/2015 19:44:40 651  290.50 267.46 0.30  W     736      332.06 NNW   10841 274       1        
5    286  45.760150 4.851168   708  05/26/2015 19:44:41 726  290.70 267.46 0.20  W     736      332.06 NNW   10886 276       1        
5    286  45.760150 4.851169   780  05/26/2015 19:44:42 800  291.20 267.46 0.52  W     736      332.06 NNW   10931 278       1        
5    286  45.760150 4.851169   852  05/26/2015 19:44:43 870  291.80 267.46 0.59  W     736      332.06 NNW   10990 281       1        
5    286  45.760154 4.851170   131  05/26/2015 19:44:45 91   292.70 267.46 0.13  W     736      332.06 NNW   11057 284       1        
5    286  45.760154 4.851171   257  05/26/2015 19:44:46 320  293.00 267.46 0.07  W     736      332.06 NNW   11111 286       1        
5    286  45.760158 4.851171   352  05/26/2015 19:44:47 370  293.10 267.46 0.69  W     736      332.06 NNW   11156 288       1        
5    286  45.760158 4.851172   421  05/26/2015 19:44:48 440  293.10 267.46 0.56  W     736      332.06 NNW   11202 290       1        
5    286  45.760158 4.851171   495  05/26/2015 19:44:49 513  293.40 267.46 0.57  W     736      332.06 NNW   11247 292       1        
5    286  45.760162 4.851178   568  05/26/2015 19:44:50 586  294.00 267.46 0.69  W     736      332.06 NNW   11292 294       1        
5    286  45.760162 4.851182   643  05/26/2015 19:44:51 660  294.20 267.46 0.28  W     736      332.06 NNW   11337 296       1        
5    286  45.760166 4.851187   717  05/26/2015 19:44:52 734  294.40 267.46 0.39  W     736      332.06 NNW   11382 298       1        
5    286  45.760166 4.851187   788  05/26/2015 19:44:53 805  294.20 267.46 0.28  W     736      332.06 NNW   11427 300       1        
5    286  45.760166 4.851185   861  05/26/2015 19:44:54 936  294.20 267.46 0.57  W     736      332.06 NNW   11495 304       1        
5    286  45.760173 4.851193   117  05/26/2015 19:44:56 180  294.60 267.46 0.17  W     736      332.06 NNW   11561 306       1        
5    286  45.760177 4.851193   328  05/26/2015 19:44:57 347  294.30 267.46 0.57  W     736      332.06 NNW   11607 308       1        
5    286  45.760177 4.851197   400  05/26/2015 19:44:58 417  294.40 267.46 0.30  W     736      332.06 NNW   11653 310       1        
5    286  45.760177 4.851198   469  05/26/2015 19:44:59 487  294.50 267.46 0.48  W     736      332.06 NNW   11698 312       1        
5    286  45.760177 4.851197   544  05/26/2015 19:45:00 562  294.50 267.46 0.81  W     736      332.06 NNW   11743 314       1        
5    286  45.760177 4.851203   616  05/26/2015 19:45:01 635  294.80 267.46 0.31  W     736      332.06 NNW   11788 316       1        
5    286  45.760181 4.851204   689  05/26/2015 19:45:02 707  294.90 267.46 0.30  W     736      332.06 NNW   11833 318       1        
6    164  45.760177 4.851195   749  05/26/2015 19:45:03 768  296.70 267.46 0.43  W     736      332.06 NNW   11878 320       1        
6    164  45.760173 4.851183   832  05/26/2015 19:45:04 850  298.10 267.46 0.17  W     736      332.06 NNW   11933 323       1        
6    164  45.760166 4.851173   83   05/26/2015 19:45:06 165  299.50 267.46 0.57  W     736      332.06 NNW   12001 326       1        
6    164  45.760166 4.851169   216  05/26/2015 19:45:07 279  300.20 267.46 0.28  W     736      332.06 NNW   12059 328       1        
6    164  45.760162 4.851165   335  05/26/2015 19:45:08 354  301.40 267.46 0.41  W     736      332.06 NNW   12105 330       1        
6    164  45.760158 4.851161   409  05/26/2015 19:45:09 427  301.80 267.46 0.20  W     736      332.06 NNW   12150 332       1        
6    164  45.760158 4.851155   483  05/26/2015 19:45:10 501  302.30 267.46 0.43  W     736      332.06 NNW   12195 334       1        
6    164  45.760154 4.851151   555  05/26/2015 19:45:11 573  302.90 267.46 0.31  W     736      332.06 NNW   12240 336       1        
6    164  45.760154 4.851147   629  05/26/2015 19:45:12 647  303.60 267.46 0.24  W     736      332.06 NNW   12285 338       1        
6    164  45.760150 4.851144   700  05/26/2015 19:45:13 717  304.10 267.46 0.09  W     736      332.06 NNW   12330 340       1        
6    164  45.760150 4.851140   774  05/26/2015 19:45:14 792  304.50 267.46 0.30  W     736      332.06 NNW   12375 342       1        
6    164  45.760150 4.851137   843  05/26/2015 19:45:15 860  304.70 267.46 0.46  W     736      332.06 NNW   12432 345       1        
6    164  45.760150 4.851133   128  05/26/2015 19:45:17 88   305.00 267.46 0.28  W     736      332.06 NNW   12501 348       1        
6    164  45.760150 4.851132   249  05/26/2015 19:45:18 311  305.20 267.46 0.24  W     736      332.06 NNW   12556 350       1        
6    164  45.760150 4.851128   341  05/26/2015 19:45:19 360  305.30 267.46 0.48  W     736      332.06 NNW   12601 352       1        
6    164  45.760150 4.851128   416  05/26/2015 19:45:20 433  305.70 267.46 0.13  W     736      332.06 NNW   12646 354       1        
6    164  45.760150 4.851127   488  05/26/2015 19:45:21 508  305.90 267.46 0.19  W     736      332.06 NNW   12691 356       1        
6    164  45.760147 4.851127   562  05/26/2015 19:45:22 579  305.90 267.46 0.30  W     736      332.06 NNW   12736 358       1        
6    164  45.760150 4.851125   636  05/26/2015 19:45:23 654  305.60 267.46 0.59  W     736      332.06 NNW   12781 360       1        
6    164  45.760150 4.851124   709  05/26/2015 19:45:24 727  305.40 267.46 0.39  W     736      332.06 NNW   12826 362       1        
6    164  45.760147 4.851124   777  05/26/2015 19:45:25 796  305.40 267.46 0.28  W     736      332.06 NNW   12871 364       1        
6    164  45.760150 4.851122   852  05/26/2015 19:45:26 870  305.10 267.
